"candidate_id","candidate_name","candidate_type","candidate_source","longitude","latitude","safe_z12","safe_z123","x_32118","y_32118"
"SCH_0173","M.S. 246 Walt Whitman","school","NYC_School_Points","-73.953479999999999","40.648352000000003","1","1","303934.821699999272823","53489.129900000989437"
"SCH_0174","P.S. 249 The Caton","school","NYC_School_Points","-73.966455999999994","40.649509000000002","1","1","302837.251900002360344","53617.109999999403954"
"SCH_0175","P.S. 289 George V. Brower","school","NYC_School_Points","-73.942401000000004","40.674244000000002","1","1","304870.001999996602535","56364.924899999052286"
"SCH_0176","P.S. 316 Elijah Stroud","school","NYC_School_Points","-73.961417999999995","40.674684999999997","1","1","303262.131399996578693","56413.014199998229742"
"SCH_0177","I.S. 340","school","NYC_School_Points","-73.970314999999999","40.676357000000003","1","1","302509.849899999797344","56598.392599999904633"
"SCH_0178","Ebbets Field Middle School","school","NYC_School_Points","-73.959484000000003","40.665199000000001","1","1","303426.133299998939037","55359.691599998623133"
"SCH_0179","Elijah Stroud Middle School","school","NYC_School_Points","-73.960093000000001","40.677100000000003","1","1","303374.034500002861023","56681.244199998676777"
"SCH_0180","The School of Integrated Learning","school","NYC_School_Points","-73.937601000000001","40.672289999999997","1","1","305275.986900001764297","56148.215999998152256"
"SCH_0182","Academy for College Preparation and Career Explora","school","NYC_School_Points","-73.957172999999997","40.649602000000002","1","1","303622.396899998188019","53627.779599998146296"
"SCH_0183","M.S. K394","school","NYC_School_Points","-73.928916999999998","40.672710000000002","1","1","306010.185199998319149","56195.415399998426437"
"SCH_0184","P.S. 397 Foster-Laurie","school","NYC_School_Points","-73.946358000000004","40.658662999999997","1","1","304536.505099996924400","54634.482599999755621"
"SCH_0185","P.S. 398 Walter Weaver","school","NYC_School_Points","-73.927978999999993","40.663387999999998","1","1","306090.343999996781349","55160.296000000089407"
"SCH_0186","P.S. 399 Stanley Eugene Clark","school","NYC_School_Points","-73.951663999999994","40.648277000000000","1","1","304088.425099998712540","53480.884500000625849"
"SCH_0189","International High School at Prospect Heights","school","NYC_School_Points","-73.960689000000002","40.669804999999997","1","1","303324.009599998593330","55871.129700001329184"
"SCH_0191","New Bridges Elementary","school","NYC_School_Points","-73.934315999999995","40.669556999999998","1","1","305553.962600000202656","55844.926300000399351"
"SCH_0195","High School for Public Service: Heroes of Tomorrow","school","NYC_School_Points","-73.943838999999997","40.658670999999998","1","1","304749.530699998140335","54635.504399999976158"
"SCH_0198","Brownsville Academy High School","school","NYC_School_Points","-73.923880999999994","40.666251000000003","1","1","306436.601800002157688","55478.517599999904633"
"SCH_0199","Medgar Evers College Preparatory School","school","NYC_School_Points","-73.951823000000005","40.666789999999999","1","1","304073.846100002527237","55536.695999998599291"
"SCH_0203","New Heights Middle School","school","NYC_School_Points","-73.936312999999998","40.662092000000001","1","1","305385.711199998855591","55015.832699999213219"
"SCH_0207","P.S. 66","school","NYC_School_Points","-73.907064000000005","40.648749000000002","1","1","307860.677199997007847","53536.340500000864267"
"SCH_0208","I.S. 068 Isaac Bildersee","school","NYC_School_Points","-73.911214999999999","40.635387999999999","1","0","307511.088200002908707","52052.276399999856949"
"SCH_0209","P.S. 114 Ryder Elementary","school","NYC_School_Points","-73.907880000000006","40.642684000000003","1","1","307792.367899999022484","52862.766899999231100"
"SCH_0210","P.S. 115 Daniel Mucatel School","school","NYC_School_Points","-73.897896000000003","40.634861000000001","1","0","308637.906700000166893","51994.982299998402596"
"SCH_0211","P.S. 135 Sheldon A. Brookner","school","NYC_School_Points","-73.932948999999994","40.653092999999998","1","1","305670.947300001978874","54016.730399999767542"
"SCH_0212","P.S. 208 Elsa Ebeling","school","NYC_School_Points","-73.930897999999999","40.642699999999998","1","1","305845.320600003004074","52862.751899998635054"
"SCH_0213","I.S. 211 John Wilson","school","NYC_School_Points","-73.895223999999999","40.642930999999997","0","0","308862.880300000309944","52891.398600000888109"
"SCH_0214","P.S. 219 Kennedy-King","school","NYC_School_Points","-73.922296000000003","40.658833999999999","1","1","306571.356899999082088","54654.997200001031160"
