"demand_id","zone_name","time_scena","mta_norm","taxi_norm","mobility_i","x_32118","y_32118"
"TZ_188","Prospect-Lefferts Gardens","morning_peak","0.943061234307000","0.231997414251000","0.587529324279000","304444.718576000013854","54644.415349800001422"
"TZ_189","Prospect Heights","morning_peak","0.806251347555000","0.072770205756800","0.439510776656000","302740.344900999974925","56741.347357999999076"
"TZ_190","Prospect Park","morning_peak","0.716252931748000","0.025261119408900","0.370757025578000","302628.773891000018921","54963.032912900001975"
"TZ_195","Red Hook","morning_peak","0.000000000000000","0.782800915841000","0.391400457921000","299223.997285999997985","56509.158533200003149"
"TZ_210","Sheepshead Bay","morning_peak","0.870861242954000","0.588584766681000","0.729723004817000","305036.194302999996580","47235.617356499999005"
"TZ_217","South Williamsburg","morning_peak","0.845914989989000","0.025261119408900","0.435588054699000","303498.998324999993201","59660.128476500001852"
"TZ_222","Starrett City","morning_peak","0.000000000000000","0.025261119408900","0.012630559704500","309945.748908000008669","53404.054851399996551"
"TZ_225","Stuyvesant Heights","morning_peak","0.863111390995000","0.214278285985000","0.538694838490000","305757.551162999996450","57912.715271799999755"
"TZ_227","Sunset Park East","morning_peak","0.871671783949000","0.072770205756800","0.472220994853000","299606.440994000004139","52770.993334200000390"
"TZ_228","Sunset Park West","morning_peak","0.955057501069000","0.049490880231900","0.502274190650000","299046.585090000007767","53933.489885000002687"
"TZ_255","Williamsburg (North Side)","morning_peak","0.909327649130000","0.025261119408900","0.467294384270000","303597.806447000009939","61313.395992600002501"
"TZ_256","Williamsburg (South Side)","morning_peak","0.834697066472000","0.072770205756800","0.453733636114000","303388.126395999977831","60433.365423000002920"
"TZ_257","Windsor Terrace","morning_peak","0.841903590466000","0.049490880231900","0.445697235349000","301862.143226000014693","54073.303528500000539"
